Date,Temperature
2018-06-16 00,27.93966681
2018-06-17 00,27.95344724
2018-06-18 00,27.80302377
2018-06-19 00,26.62847353
2018-06-20 00,26.41387723
2018-06-21 00,25.97541233
2018-06-22 00,28.5273731
2018-06-23 00,28.81065964
2018-06-24 00,28.82432099
2018-06-25 00,29.54036611
2018-06-26 00,29.47082411
2018-06-27 00,29.63447529
2018-06-28 00,28.94055916
2018-06-29 00,28.88558766
2018-06-30 00,29.62874023
2018-07-01 00,29.98939249
2018-07-02 00,28.95907028
2018-07-03 00,25.58274326
2018-07-04 00,28.06402645
2018-07-05 00,27.84837106
2018-07-06 00,28.98882124
2018-07-07 00,28.64760033
2018-07-08 00,29.82042117
2018-07-09 00,29.6867235
2018-07-10 00,30.81555529
2018-07-11 00,29.65681192
2018-07-12 00,27.63672094
2018-07-13 00,28.77586081
2018-07-14 00,28.17263776
2018-07-15 00,28.14133459
2018-07-16 00,29.45860247
2018-07-17 00,29.51435595
2018-07-18 00,31.46923237
2018-07-19 00,31.29752991
2018-07-20 00,29.50370617
2018-07-21 00,30.09582468
2018-07-22 00,30.7004833
2018-07-23 00,30.35172467
2018-07-24 00,30.69588777
2018-07-25 00,30.36324099
2018-07-26 00,29.68512589
2018-07-27 00,30.13272933
2018-07-28 00,30.38130956
2018-07-29 00,30.82472739
2018-07-30 00,30.87237908
2018-07-31 00,31.41510904
2018-08-01 00,30.67534241
2018-08-02 00,30.92852721
2018-08-03 00,30.86826791
2018-08-04 00,29.26640967
2018-08-05 00,26.84273157
2018-08-06 00,30.47953175
2018-08-07 00,30.9804358
2018-08-08 00,31.48433448
2018-08-09 00,31.7422179
2018-08-10 00,30.85562501
2018-08-11 00,31.27713853
2018-08-12 00,31.3940644
2018-08-13 00,31.2596553
2018-08-14 00,30.44595745
2018-08-15 00,28.8769695
2018-08-16 00,28.5308738
2018-08-17 00,28.33946754
2018-08-18 00,30.07684414
2018-08-19 00,29.86940584
2018-08-20 00,29.26627495
2018-08-21 00,29.29497115
2018-08-22 00,26.24908072
2018-08-23 00,28.20455371
2018-08-24 00,27.4732161
2018-08-25 00,25.88110025
2018-08-26 00,28.13874833
2018-08-27 00,28.56988188
2018-08-28 00,26.97458806
2018-08-29 00,25.22306318
2018-08-30 00,26.58695932
2018-08-31 00,26.08362283
2018-09-01 00,27.15247265
2018-09-02 00,29.1311915
2018-09-03 00,29.07486219
2018-09-04 00,29.24203258
2018-09-05 00,30.03530322
2018-09-06 00,30.27336037
2018-09-07 00,29.26527317
2018-09-08 00,30.02249534
2018-09-09 00,28.13031409
2018-09-10 00,28.41035384
2018-09-11 00,27.90443468
2018-09-12 00,29.10644485
2018-09-13 00,29.35551408
2018-09-14 00,29.74978122
2018-09-15 00,32.03085437
2018-09-16 00,29.24771681
2018-09-17 00,30.34480589
2018-09-18 00,31.02898509
2018-09-19 00,31.55407053
2018-09-20 00,31.18649816
2018-09-21 00,31.47233825
2018-09-22 00,31.50434682
2018-09-23 00,31.75734007
2018-09-24 00,31.81962842
2018-09-25 00,31.36563887
2018-09-26 00,30.61107767
2018-09-27 00,29.95711124
2018-09-28 00,30.99223431
2018-09-29 00,29.62353635
2018-09-30 00,29.12493566
2018-10-01 00,28.49628506
2018-10-02 00,28.39041176
2018-10-03 00,27.57023821
2018-10-04 00,27.42994692
2018-10-05 00,26.83610646
2018-10-06 00,27.62775655
2018-10-07 00,28.57053223
2018-10-08 00,28.53607184
2018-10-09 00,28.20719689
2018-10-10 00,28.5870956
2018-10-11 00,28.35089722
2018-10-12 00,25.94170304
2018-10-13 00,24.27211408
2018-10-14 00,26.19217448
2018-10-15 00,27.87326608
2018-10-16 00,28.15917566
2018-10-17 00,28.27712653
2018-10-18 00,25.82314967
2018-10-19 00,26.08277478
2018-10-20 00,25.97572911
2018-10-21 00,25.61817742
2018-10-22 00,25.76769676
2018-10-23 00,26.27331278
2018-10-24 00,26.6866163
2018-10-25 00,26.00933381
2018-10-26 00,26.42032754
2018-10-27 00,25.77267518
2018-10-28 00,25.45003212
2018-10-29 00,23.41762248
2018-10-30 00,22.8699451
2018-10-31 00,24.19494621
2018-11-01 00,23.81810034
2018-11-02 00,22.64129778
2018-11-03 00,23.85814085
2018-11-04 00,26.02953955
2018-11-05 00,26.32696488
2018-11-06 00,26.41804817
2018-11-07 00,26.63861696
2018-11-08 00,26.14388354
2018-11-09 00,25.12146926
2018-11-10 00,26.39101502
2018-11-11 00,25.63788764
2018-11-12 00,25.66704531
2018-11-13 00,25.37619491
2018-11-14 00,25.13671631
2018-11-15 00,24.8650874
2018-11-16 00,24.83820174
2018-11-17 00,25.82195852
2018-11-18 00,25.4626265
2018-11-19 00,25.93255589
2018-11-20 00,25.35096922
2018-11-21 00,24.81571964
2018-11-22 00,25.53777704
2018-11-23 00,24.39312456
2018-11-24 00,23.84203121
2018-11-25 00,22.89756251
2018-11-26 00,23.48248693
2018-11-27 00,21.59541026
2018-11-28 00,24.20578012
2018-11-29 00,22.66510338
2018-11-30 00,23.31850377
2018-12-01 00,23.96067317
2018-12-02 00,24.51394119
2018-12-03 00,24.03915355
2018-12-04 00,24.24939372
2018-12-05 00,24.8376988
2018-12-06 00,25.49096794
2018-12-07 00,25.93238582
2018-12-08 00,23.72789736
2018-12-09 00,22.13929231
2018-12-10 00,22.1020835
2018-12-11 00,22.16706538
2018-12-12 00,22.94153291
2018-12-13 00,20.39572153
2018-12-14 00,21.39217742
2018-12-15 00,22.75008195
2018-12-16 00,23.24806834
2018-12-17 00,23.55919524
2018-12-18 00,20.43548524
2018-12-19 00,20.09711227
2018-12-20 00,20.69193568
2018-12-21 00,22.19486841
2018-12-22 00,22.70583347
2018-12-23 00,23.7294026
2018-12-24 00,23.29234146
2018-12-25 00,22.92022819
2018-12-26 00,24.46362746
2018-12-27 00,24.65615704
2018-12-28 00,23.80507016
2018-12-29 00,21.67440205
2018-12-30 00,20.35096567
2018-12-31 00,20.50531367
2019-01-01 00,21.49741687
2019-01-02 00,21.79675856
2019-01-03 00,22.38192201
2019-01-04 00,23.30822799
2019-01-05 00,24.09073748
2019-01-06 00,24.78356877
2019-01-07 00,24.55738698
2019-01-08 00,24.31393161
2019-01-09 00,24.01435407
2019-01-10 00,21.96082173
2019-01-11 00,23.72352131
2019-01-12 00,24.26129412
2019-01-13 00,23.92909638
2019-01-14 00,23.62127526
2019-01-15 00,24.56101634
2019-01-16 00,22.56605818
2019-01-17 00,19.94367124
2019-01-18 00,20.07250715
2019-01-19 00,22.23407262
2019-01-20 00,22.85737469
2019-01-21 00,24.14315365
2019-01-22 00,21.75059046
2019-01-23 00,21.15300249
2019-01-24 00,22.17493226
2019-01-25 00,22.89237884
2019-01-26 00,22.66853672
2019-01-27 00,21.70047189
2019-01-28 00,23.00453632
2019-01-29 00,23.6094843
2019-01-30 00,23.89912351
2019-01-31 00,23.07634516
2019-02-01 00,27.66953617
2019-02-02 00,25.39738536
2019-02-03 00,26.12889582
2019-02-04 00,27.51789448
2019-02-05 00,27.78425008
2019-02-06 00,26.39055684
2019-02-07 00,27.63803489
2019-02-08 00,27.27344618
2019-02-09 00,25.87934482
2019-02-10 00,26.06587709
2019-02-11 00,26.4284605
2019-02-12 00,25.89547828
2019-02-13 00,26.30663471
2019-02-14 00,27.38101376
2019-02-15 00,27.44090256
2019-02-16 00,27.33342999
2019-02-17 00,26.63060778
2019-02-18 00,25.7901519
2019-02-19 00,26.320997
2019-02-20 00,27.44314295
2019-02-21 00,27.47862747
2019-02-22 00,26.14259369
2019-02-23 00,24.76533018
2019-02-24 00,23.58160158
2019-02-25 00,22.7534401
2019-02-26 00,25.38605249
2019-02-27 00,25.65691855
2019-02-28 00,23.83777345
